video_id,creatorEmail,genre,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost,timestamp
-4G1CgJqnHM,david24@example.net,History,1237.0,162.0,5.0,41.0,1.0,59.0,9.0,23.0,33738.0,5132.0,1636.0,44.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2020-08-10 01:03:49
-4G1CgJqnHM,david24@example.net,History,380.0,51.0,1.0,13.0,1.0,14.0,3.0,3.0,8513.0,1500.0,1344.0,36.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2020-08-10 01:05:56
-4G1CgJqnHM,david24@example.net,History,415.0,54.0,1.0,11.0,0.0,15.0,1.0,5.0,8900.0,1258.0,1286.0,35.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2020-08-10 03:47:31
-4G1CgJqnHM,david24@example.net,History,329.0,28.0,0.0,12.0,0.0,21.0,3.0,4.0,6858.0,548.0,1250.0,34.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2020-08-10 22:37:55
-4G1CgJqnHM,david24@example.net,History,318.0,38.0,0.0,12.0,1.0,9.0,2.0,1.0,7547.0,796.0,1423.0,38.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2020-08-11 00:12:22
-4G1CgJqnHM,david24@example.net,History,286.0,36.0,0.0,15.0,0.0,11.0,0.0,2.0,7080.0,962.0,1485.0,40.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2020-08-11 06:02:11
-4G1CgJqnHM,david24@example.net,History,272.0,25.0,0.0,6.0,0.0,7.0,1.0,3.0,6451.0,603.0,1423.0,38.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0265,5.0,151.0,0.0,4.0,0.0,0.0,2020-08-11 10:07:22
-4G1CgJqnHM,david24@example.net,History,177.0,24.0,1.0,5.0,1.0,3.0,0.0,3.0,4712.0,635.0,1597.0,43.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084,1.0,119.0,0.0,1.0,2.0,0.0,2020-08-11 10:56:27
-4G1CgJqnHM,david24@example.net,History,146.0,11.0,0.0,1.0,0.0,4.0,0.0,0.0,3854.0,233.0,1584.0,43.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0108,1.0,93.0,0.0,1.0,0.0,0.0,2020-08-11 10:56:28
-4G1CgJqnHM,david24@example.net,History,100.0,19.0,0.0,0.0,0.0,6.0,2.0,3.0,2740.0,668.0,1644.0,44.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0163999999999999,1.0,61.0,0.0,1.0,0.0,0.0,2020-08-11 10:56:28
-4G1CgJqnHM,david24@example.net,History,84.0,15.0,0.0,3.0,0.0,6.0,0.0,0.0,2634.0,532.0,1881.0,51.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,1.0,0.0,2020-08-11 15:21:06
-4G1CgJqnHM,david24@example.net,History,96.0,25.0,0.0,1.0,0.0,1.0,1.0,0.0,2314.0,620.0,1446.0,39.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,2020-08-11 20:45:15
-4G1CgJqnHM,david24@example.net,History,80.0,12.0,0.0,4.0,0.0,3.0,3.0,1.0,2223.0,395.0,1667.0,45.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,2020-08-11 20:45:20
-4G1CgJqnHM,david24@example.net,History,95.0,14.0,0.0,2.0,0.0,3.0,2.0,1.0,2854.0,355.0,1802.0,49.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,2020-08-11 20:48:28
-4G1CgJqnHM,david24@example.net,History,77.0,12.0,1.0,3.0,0.0,0.0,0.0,1.0,2377.0,277.0,1852.0,50.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,2020-08-12 06:02:33
